id,url,img,info,condition,description,imgurl,postdate,time_since_posting,price
701940870,https://offerup.com/item/detail/701940870/,https://photos.offerup.com/gIIITGmyhgAt_1uWBO2QGySjkTs=/300x486/bbfd/bbfda49db89943a7a6d4016d43055f1f.jpg,"['wooden outdoor patio table and chai...', 'sold', 'los angeles, ca']",Used (normal wear),"Ikea Applaro Outdoor Patio Set. Wooden foldable table and chairs. Table can be extended or folded down. Normally $159 from Ikea.
Pickup Only. Make an offer!",https://photos.offerup.com/EFb0VvedTaTv4cnjC-hr7jF6sDM=/600x972/bbfd/bbfda49db89943a7a6d4016d43055f1f.jpg,2019-06-25 20:00:12.054766,0.16666666666666666,50.0
701882609,https://offerup.com/item/detail/701882609/,https://photos.offerup.com/p9Ij2qcxv9LdlpTEnFov-YpOyH4=/300x145/f656/f6560840ef34441fadad7b8e21fd09a4.jpg,"['table / chairs', 'sold', 'los angeles, ca']",Reconditioned/Certified,"GOOD CONDITION, NEW
PICK UP ONLY, PRICE IS FIRM. Make an offer!",https://photos.offerup.com/h6VTN_IOD5n4CgpyjWJTUYWgMxY=/600x291/f656/f6560840ef34441fadad7b8e21fd09a4.jpg,2019-06-25 19:00:12.054766,0.20833333333333331,20.0
701879361,https://offerup.com/item/detail/701879361/,https://photos.offerup.com/kyn7TB96SoLmpYuDm8ZcNX2Upko=/300x400/6ee4/6ee4b56490804d5c9542969eec93b759.jpg,"['mid century white leather chair', 'sold', 'monterey park, ca']",Used (normal wear),Mid Century White Leather chair. Make an offer!,https://photos.offerup.com/ZOntK7ycJrQBBCRNM44b6trbB_8=/600x800/6ee4/6ee4b56490804d5c9542969eec93b759.jpg,2019-06-25 19:00:12.054766,0.20833333333333331,35.0
701696803,https://offerup.com/item/detail/701696803/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['lazy boy (reclining chair)', 'sold', 'lakewood, ca']",Used (normal wear),Lazy boy (reclining chair). Make an offer!,https://photos.offerup.com/fZOnGqcwG_CDKsACsFpeTgzTQXU=/600x882/9aa8/9aa889781e3d43b1a0cc1dd77805cd69.jpg,2019-06-25 14:00:12.054766,0.41666666666666663,20.0
701688127,https://offerup.com/item/detail/701688127/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['bar stool chairs', 'sold', 'palmdale, ca']",Used (normal wear),"Metal frame,  leather seats , in good condition , slight RIP on one chair . Make an offer!",https://photos.offerup.com/YFM3hHDSXvlr5DmWfeqG1oAIWkE=/600x450/04cf/04cf5c41bed246bf857bbbfced46818f.jpg,2019-06-25 14:00:12.054766,0.41666666666666663,80.0
701646086,https://offerup.com/item/detail/701646086/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['5 solid wood chairs good condition', 'sold', 'fullerton, ca']",Used (normal wear),5 Solid wood chairs good condition. Make an offer!,https://photos.offerup.com/3hs2SXJHZzxzxIbYfW-sA_lhDNg=/600x800/3b47/3b470d772866443c8a9e864942997608.jpg,2019-06-25 13:00:12.054766,0.4583333333333333,75.0
701501393,https://offerup.com/item/detail/701501393/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dinner table set with lazy susan', 'sold', 'whittier, ca']",Used (normal wear),"Dinner table set with Lazy Susan and 4 chairs. Pub height, used regular wear and tear, minor scratches, Sturdy real wood. Measurements: Table Height 36 inches, chair height 24 inches,
Table top 40 inches x 40 inches. . Make an offer!",https://photos.offerup.com/mbEFAoBtQoYpPhwhvAwP5NCThBA=/600x1034/bc15/bc157e3d1b8f467c8e3c89abd66fc6dd.jpg,2019-06-25 02:00:12.054766,0.9166666666666666,100.0
701499871,https://offerup.com/item/detail/701499871/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['metal chairs', 'sold', 'garden grove, ca']",Used (normal wear),Good  I have five ....$5 dollars each . Make an offer!,https://photos.offerup.com/jA8SJ1jRhQZiPu9LAf7Rhrpf2ug=/600x800/aaaa/aaaa01c4a99a496ca5f684482f6b03b8.jpg,2019-06-25 02:00:12.054766,0.9166666666666666,5.0
701392934,https://offerup.com/item/detail/701392934/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['chair comfortable, clean 🧼 smoke �...', 'sold', 'irwindale, ca']",Used (normal wear),"Chair Comfortable, Clean 🧼 Smoke 💨 free, well taken care of Chair $5.00 SERIOUS BUYERS ONLY!. Make an offer!",https://photos.offerup.com/Tv8cQYhEIDWv2vg2hx-B5C_-DOg=/600x612/382f/382f4fbc33ed412fb1f4f86a1f5a0ae3.jpg,2019-06-25 00:00:12.054766,1.0,5.0
701324075,https://offerup.com/item/detail/701324075/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['outdoor patio couch', 'sold', 'irwindale, ca']",Used (normal wear),"Outdoor deck sofa couch in good condition small pillows not included $60 or best offer




Furniture chair IKEA outside patio. Make an offer!",https://photos.offerup.com/0pnV4t8d_AaHe9unJvmizBf3Ads=/600x450/6caa/6caa78382eed4383891c55ecafd0fe2e.jpg,2019-06-25 00:00:12.054766,1.0,60.0
701347390,https://offerup.com/item/detail/701347390/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['chair', 'sold', 'rosemead, ca']",Used (normal wear),"Good condition 
. Make an offer!",https://photos.offerup.com/uLNszWN7E6xoW_oasaKHngW2cB0=/600x800/fd37/fd37c9e3d0404db8890272811deee75f.jpg,2019-06-25 00:00:12.054766,1.0,20.0
701294014,https://offerup.com/item/detail/701294014/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['catalina furniture hollywood regenc...', 'sold', 'whittier, ca']",Used (normal wear),"These 3 arm chairs would be a great addition for a formal living room, dining room, office room, grand entrance room, patio, party etc.  Chairs are made out of wood, with faux ostrich vinyl finish.  No rips, stains or holes, a few scruffs on the edges, but in great shape.  Chairs are usually over $150 each, take all 3 for $150.  

Please check out my other Offers!!!  

. Make an offer!",https://photos.offerup.com/xZUr280MHHcqUSSG9LZGAi2dmLY=/600x577/5049/5049bab39f7948c384fe796c7b66f451.jpg,2019-06-25 00:00:12.054766,1.0,150.0
701292175,https://offerup.com/item/detail/701292175/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['leather executive office chair', 'sold', 'pasadena, ca']",Used (normal wear),Leather Executive Office Chair. Make an offer!,https://photos.offerup.com/mgMJjYTR5yWbCIZMNpr12Rf418Q=/600x1001/ec41/ec412786d983474b82f8af43df306e96.jpg,2019-06-25 00:00:12.054766,1.0,15.0
701254492,https://offerup.com/item/detail/701254492/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['comfy yellow accent chair', 'sold', 'los angeles, ca']",Used (normal wear),"Only sat in a few times. Should have sat in it more, it’s really comfy! Mainly just used in the corner of the bedroom to put clean laundry, jackets, purses. Originally $140. Located in DTLA.. Make an offer!",https://photos.offerup.com/PV04QvMSJvCJjsd3qd_TjS7_J14=/600x800/cfab/cfab37982cc24e2bb84c28bbea37dc66.jpg,2019-06-25 00:00:12.054766,1.0,50.0
701228282,https://offerup.com/item/detail/701228282/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['mid century modern chair', 'sold', 'los angeles, ca']",Used (normal wear),This mid century modern accent chair is in great condition. Oversized and comfortable it’s a great addition for any living room or bedroom. Make an offer!,https://photos.offerup.com/ZpE3a4s_RHUP5G1kiMqurgs5vkA=/600x800/9e68/9e68e82ad86d4c57bcbcc9a2cb7e0bfe.jpg,2019-06-25 00:00:12.054766,1.0,50.0
701218676,https://offerup.com/item/detail/701218676/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['teak table and chairs', 'sold', 'long beach, ca']",Used (normal wear),"Round table with chairs can be used inside or out- come with Three foldable chairs- All in great shape
Table is 43 inches across . Make an offer!",https://photos.offerup.com/hYD51qg8tlXsbGMVLFPQ000k6m4=/600x800/0896/089632787f13405b9ecc1351294121d9.jpg,2019-06-25 00:00:12.054766,1.0,200.0
701196777,https://offerup.com/item/detail/701196777/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['chair', 'sold', 'la palma, ca']",New (never used),PRICE DOWN TO $40 . Make an offer!,https://photos.offerup.com/s-PX5LaG747eUdsxg2s37sssiWM=/600x1066/14bd/14bd20fe8b0e4a119ddfa75411c34f41.jpg,2019-06-25 00:00:12.054766,1.0,40.0
701110233,https://offerup.com/item/detail/701110233/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['chairs', 'sold', 'lynwood, ca']",Reconditioned/Certified,"Bar stool type chairs, look in New condition no damage at all to them just have 2 of them 24 for the set. . Make an offer!",https://photos.offerup.com/0n3_3FDBW_Fqu2dK0SsnuXwMI14=/600x442/9197/91971d4fdb6d4afdb1cf4be14e1654de.jpg,2019-06-25 00:00:12.054766,1.0,24.0
701054733,https://offerup.com/item/detail/701054733/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['new in box salon stool tattoo facia...', 'sold', 'los angeles, ca']",New (never used),"NEW IN BOX SALON STOOL TATTOO FACIAL CHAIR SWIVEL 360, ADJUSTABLE WITH THICK CUSHION HYDRAULIC SEAT $40. Make an offer!",https://photos.offerup.com/Rl9vlyZqQ1SVLxETXjoQd6PHp40=/600x800/9cca/9cca8ce5b2e24334a5ad11551499c64a.jpg,2019-06-25 00:00:12.054766,1.0,40.0
701040207,https://offerup.com/item/detail/701040207/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['chair', 'sold', 'long beach, ca']",Used (normal wear),"Excellent condition 
Price to sell asap . Make an offer!",https://photos.offerup.com/AqX0Z7Q9AFuwirF5Bt6MH42f0Lc=/600x800/b0a4/b0a48cc7faae413fa9774d73fd69ef0f.jpg,2019-06-25 00:00:12.054766,1.0,25.0
701008951,https://offerup.com/item/detail/701008951/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['premium chair', 'sold', 'los angeles, ca']",New (never used),Premium leather chair . Make an offer!,https://photos.offerup.com/YuyaQsqNkZ-DNYMvcdPmLTzGZAc=/600x882/f9e5/f9e56fd2fbab4164b0684e9e062afa01.jpg,2019-06-25 00:00:12.054766,1.0,90.0
700895043,https://offerup.com/item/detail/700895043/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['ikea desk and conference chair - bl...', 'sold', 'hermosa beach, ca']",Used (normal wear),"IKEA Linnmon Table Top with Legs - Black: strong and light weight.

Dimensions: 47 1/4 x 23 5/8 

IKEA Stoljan Conference Chair - Black:
very durable

Dimensions: 17 3/4 W x 20 1/8 D x 31 7/8 H

Both are in great condition and kept in a smoke free home. Let me know if you have any additional questions or would like to see more pictures! Can buy together or separately if needed (will adjust price).. Make an offer!",https://photos.offerup.com/BDNrDZv2Z4lDgTidqe2v2BcpZ2A=/600x475/f34e/f34ea7973f89417990567678ad0d1aa9.jpg,2019-06-25 00:00:12.054766,1.0,30.0
700822590,https://offerup.com/item/detail/700822590/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['5 dining chairs. from world market', 'sold', 'santa ana, ca']",Used (normal wear),5 chairs from world market . Make an offer!,https://photos.offerup.com/1lO8-pzkVE34-oFRBnEfezozsv0=/600x450/809d/809deb5eb6784451a2a883078548dae8.jpg,2019-06-24 00:00:12.054766,2.0,125.0
700126286,https://offerup.com/item/detail/700126286/,https://photos.offerup.com/u3ICJSi7kqCPoraseiSw-G-2bA0=/300x400/0e41/0e41c183cedd4f568438110938ae9045.jpg,"['desk chair', 'sold', 'azusa, ca']",Used (normal wear),It’s in good condition . Make an offer!,https://photos.offerup.com/ZcV6AsqRO91QJJe0yJcERZKSX4A=/600x800/0e41/0e41c183cedd4f568438110938ae9045.jpg,2019-06-24 00:00:12.054766,2.0,15.0
700729838,https://offerup.com/item/detail/700729838/,https://photos.offerup.com/LCe9LVToyMvOmhS8pWgPgpPOBi4=/300x400/7af3/7af3de4193ed478fbd3bff5572ce8bba.jpg,"['chair', 'sold', 'los angeles, ca']",Used (normal wear),Chair. Make an offer!,https://photos.offerup.com/7uuK89IRhPX_4jOi38BMOF3ylNk=/600x800/7af3/7af3de4193ed478fbd3bff5572ce8bba.jpg,2019-06-24 00:00:12.054766,2.0,20.0
700617264,https://offerup.com/item/detail/700617264/,https://photos.offerup.com/nxPoouLuWwcdpKvG4bnz-QT382c=/300x400/026d/026d1b19c608417a9dabef37f4696027.jpg,"['pair vintage brown jordan lounge ch...', 'sold', 'los angeles, ca']",Used (normal wear),"1970’s
Very good condition.
Straps are still in good condition and not worn out and brittle.
Minor scuffs on the the arms, mainly in the back.. Make an offer!",https://photos.offerup.com/J6aNO4hDM0r-BW-KUDFAdIE9xD0=/600x800/026d/026d1b19c608417a9dabef37f4696027.jpg,2019-06-24 00:00:12.054766,2.0,300.0
700599207,https://offerup.com/item/detail/700599207/,https://photos.offerup.com/T1sBc0isp9sJf4S14sMYcWw8daw=/300x533/4921/492195507a3544dbb604aa6f9789e7a9.jpg,"['z gallerie style mirrored make-up v...', 'sold', 'los angeles, ca']",Used (normal wear),"Selling A Mirrored Make-up Vanity Table

From pier 1 imports, paid over $700

Comes with Mirror and Chair included

Good condition, will look beautiful in any room

This isnt some cheap China knock off table, this is a quality vanity table with Pier 1 imports stickers still on it. 

Asking $170 or best offer. Make an offer!",https://photos.offerup.com/sC6NO7AqUBF55GAj1xf8rMpTPfQ=/600x1066/4921/492195507a3544dbb604aa6f9789e7a9.jpg,2019-06-24 00:00:12.054766,2.0,170.0
700595325,https://offerup.com/item/detail/700595325/,https://photos.offerup.com/iKYusZVZg2t4-HmxZ9iVkfcsWcY=/300x400/bb00/bb0036d397c24c3ba88c5a6cf3dfaa72.jpg,"['office chair', 'sold', 'norwalk, ca']",Used (normal wear),Office chair. Make an offer!,https://photos.offerup.com/7xNl3kwWajWAX74GcfWBLSbvavA=/600x800/bb00/bb0036d397c24c3ba88c5a6cf3dfaa72.jpg,2019-06-24 00:00:12.054766,2.0,10.0
