id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
702133513,https://offerup.com/item/detail/702133513/,https://photos.offerup.com/PX0y_66MVsIcjONLvQpFXg6rCEY=/300x248/7634/76343dbe1b794503b3b3f99ecd26469c.jpg,"['genuine leather sofa couch', '$300.00', 'los angeles, ca']",300.0,Used (normal wear),"Real leather couch with wooden detail trim
Original price was over $3000
Very comfortable, great quality 
Pick up from Hollywood 
Cash only. Make an offer!",https://photos.offerup.com/_AGaot6tDMvt9lCNcZ6t5BPLJsk=/600x496/7634/76343dbe1b794503b3b3f99ecd26469c.jpg,2019-06-26 04:24:15.092811,0.02986111111111111
702128205,https://offerup.com/item/detail/702128205/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['laguna 3 piece sectional', '$600.00', 'pasadena, ca']",600.0,Used (normal wear),"Bought from bobs furniture 4 months ago. 
Great couch but barely gets used. 
Purchased for 1,300

Selling because we need a sleeper couch for my grandparents who just moved to town.  

Comes with all original pillows (8) shown in photos. 
The couch is basically brand new maybe just needs a quick vacuum . Make an offer!",https://photos.offerup.com/IBS-kNxvU11cjzGvggaM5L8eQDg=/600x450/810b/810b02157bbd488bb639951530a8a999.jpg,2019-06-26 04:07:15.092811,0.041666666666666664
702124661,https://offerup.com/item/detail/702124661/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['yes on display 😁 sand reversible c...', '$449.00', 'los angeles, ca']",449.0,New (never used),"Come into our Downtown L.A. Showroom

Address:📍1100 : Wall St : Unit # 204 
Los Angeles : CA : 90015 👇

 Days & Hours:
:: Monday -       10am - 4pm
:: Tuesday -       Closed
:: Wednesday - 10am - 4pm
:: Thursday -     10am - 4pm
:: Friday -           Closed
:: Saturday -      10am - 4pm
:: Sunday -         Closed 👇

💵 Financing available with only $50 down $0 Interest up to 90 days to pay same as cash... Financing offered to people with no credit bad credit they get approved! 💯 Message me to apply.

📱 Text # 22462 and enter 20449 to apply.

😁 Only $50 Down!
😊 No Credit Check!
🙂 90 Days Payment Option
👉 Apply Today It's Quick!

🚚 Delivery Fee








We also have more items online- 
cal king, eastern king, king, bedroom furniture, living room furniture, livingroom, patio furniture,server, bar chairs, ottoman, mirror, rugs, furniture,  kids furniture, youth furniture, master bedroom, dining room, dining room furniture, dining set, dining table, mattress, new mattress, queen mattress, twin mattress, full mattress, king mattress, cal king mattress, furniture, brand new, twin bed, queen bed, full bed, eastern king bed, king bed, cal king bed, delivery, set up,  eastern king mattress, accent furniture, chest, dresser, mirror, dining chairs, sectional, sofa, loveseat, love seat, couch, recliner, bed, nightstand, bunk bed, daybed, trundle bed, dog houses, futons, sleeper, sofa bed, sofa sleeper, desk, computer chair, coffee table, pull out bed, tv stands, bar, bench, counter height, queen, twin, full,  rug, vanity, bookcase, leather, fabric, faux leather, bonded leather, linen, polyester, outdoor, assembly, brand new furniture,. Make an offer!",https://photos.offerup.com/TYHtzdU426QV3-RQ_fcZvoO5UzM=/600x525/3b31/3b31e6d2cbb4442887565222c3f70fce.jpg,2019-06-26 03:07:15.092811,0.08333333333333333
690851952,https://offerup.com/item/detail/690851952/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['promoted', 'grey couch set', '$100.00', 'los angeles, ca']",100.0,Used (normal wear),Grey couch and love seat. Make an offer!,https://photos.offerup.com/wUoO0GwIsrf-475uwrbeVYq2big=/600x337/8f75/8f7509d99f7b4f758dd254811b00227c.jpg,2019-06-12 05:07:15.092811,14.0
702123357,https://offerup.com/item/detail/702123357/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['couch', '$200.00', 'los angeles, ca']",200.0,Used (normal wear),"Velvet couch, comfortable, barely used, no kids and pets . Make an offer!",https://photos.offerup.com/5Zck46VOFUvPHJ7WclMQav2IdN4=/600x450/b82f/b82f24e78dac4d0d915204e0eb68ad71.jpg,2019-06-26 03:07:15.092811,0.08333333333333333
702122726,https://offerup.com/item/detail/702122726/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['black leather couch', '$50.00', 'los angeles, ca']",50.0,Used (normal wear),Super comfy couch. Real leather. 7’x3’ Have to be able to pick up on Saturday 6/29 only. . Make an offer!,https://photos.offerup.com/siVCVqw-r5iDHCuLGMyc4w1xeeo=/600x450/2305/23056a7d64e048e18d02e780c299a14e.jpg,2019-06-26 03:07:15.092811,0.08333333333333333
702120667,https://offerup.com/item/detail/702120667/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['l couch from ashley+ throw+ pillows', '$250.00', 'los angeles, ca']",250.0,Used (normal wear),"Excellent condition 
Selling because moving 
. Make an offer!",https://photos.offerup.com/maOu_mZ0UbDepEG8Fknr_hg2iRE=/600x329/0406/0406a97f063b45518d9abe0f8fe940db.jpg,2019-06-26 03:07:15.092811,0.08333333333333333
702097925,https://offerup.com/item/detail/702097925/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['real showroom 😁 on display - ash b...', '$544.00', 'los angeles, ca']",544.0,New (never used),"Come into our Downtown L.A. Showroom

Address:📍1100 : Wall St : Unit # 204 
Los Angeles : CA : 90015 👇

 Days & Hours:
:: Monday -       10am - 4pm
:: Tuesday -       Closed
:: Wednesday - 10am - 4pm
:: Thursday -     10am - 4pm
:: Friday -           Closed
:: Saturday -      10am - 4pm
:: Sunday -         Closed 👇

💵 Financing available with only $50 down $0 Interest up to 90 days to pay same as cash... Financing offered to people with no credit bad credit they get approved! 💯 Message me to apply.

📱 Text # 22462 and enter 20449 to apply.

😁 Only $50 Down!
😊 No Credit Check!
🙂 90 Days Payment Option
👉 Apply Today It's Quick!

🚚 Delivery Fee








We also have more items online- 
cal king, eastern king, king, bedroom furniture, living room furniture, livingroom, patio furniture,server, bar chairs, ottoman, mirror, rugs, furniture,  kids furniture, youth furniture, master bedroom, dining room, dining room furniture, dining set, dining table, mattress, new mattress, queen mattress, twin mattress, full mattress, king mattress, cal king mattress, furniture, brand new, twin bed, queen bed, full bed, eastern king bed, king bed, cal king bed, delivery, set up,  eastern king mattress, accent furniture, chest, dresser, mirror, dining chairs, sectional, sofa, loveseat, love seat, couch, recliner, bed, nightstand, bunk bed, daybed, trundle bed, dog houses, futons, sleeper, sofa bed, sofa sleeper, desk, computer chair, coffee table, pull out bed, tv stands, bar, bench, counter height, queen, twin, full,  rug, vanity, bookcase, leather, fabric, faux leather, bonded leather, linen, polyester, outdoor, assembly, brand new furniture,. Make an offer!",https://photos.offerup.com/0QbUY2EN1KKvigBkNnMneEpEPKI=/600x450/9303/930380d3d0364a5085dde00ac7e298bc.jpg,2019-06-26 03:07:15.092811,0.08333333333333333
702111987,https://offerup.com/item/detail/702111987/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['real showroom 😁 on display - navy ...', '$429.00', 'los angeles, ca']",429.0,New (never used),"Come into our Downtown L.A. Showroom

Address:📍1100 : Wall St : Unit # 204 
Los Angeles : CA : 90015 👇

 Days & Hours:
:: Monday -       10am - 4pm
:: Tuesday -       Closed
:: Wednesday - 10am - 4pm
:: Thursday -     10am - 4pm
:: Friday -           Closed
:: Saturday -      10am - 4pm
:: Sunday -         Closed 👇

💵 Financing available with only $50 down $0 Interest up to 90 days to pay same as cash... Financing offered to people with no credit bad credit they get approved! 💯 Message me to apply.

📱 Text # 22462 and enter 20449 to apply.

😁 Only $50 Down!
😊 No Credit Check!
🙂 90 Days Payment Option
👉 Apply Today It's Quick!

🚚 Delivery Fee








We also have more items online- 
cal king, eastern king, king, bedroom furniture, living room furniture, livingroom, patio furniture,server, bar chairs, ottoman, mirror, rugs, furniture,  kids furniture, youth furniture, master bedroom, dining room, dining room furniture, dining set, dining table, mattress, new mattress, queen mattress, twin mattress, full mattress, king mattress, cal king mattress, furniture, brand new, twin bed, queen bed, full bed, eastern king bed, king bed, cal king bed, delivery, set up,  eastern king mattress, accent furniture, chest, dresser, mirror, dining chairs, sectional, sofa, loveseat, love seat, couch, recliner, bed, nightstand, bunk bed, daybed, trundle bed, dog houses, futons, sleeper, sofa bed, sofa sleeper, desk, computer chair, coffee table, pull out bed, tv stands, bar, bench, counter height, queen, twin, full,  rug, vanity, bookcase, leather, fabric, faux leather, bonded leather, linen, polyester, outdoor, assembly, brand new furniture,. Make an offer!",https://photos.offerup.com/THeVlci_aNoZBOrqlpL1O1oxa9w=/600x379/c80f/c80fc56d321d40ddb044b1fcc3cf8a75.jpg,2019-06-26 02:07:15.092811,0.125
702104816,https://offerup.com/item/detail/702104816/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['brown couches', '$150.00', 'los angeles, ca']",150.0,Used (normal wear),"2 piece sectional. Brown, still in good condition. Make an offer!",https://photos.offerup.com/iCi3EGwyb2wqehEbhHq5UAGxu1U=/600x1300/4ee0/4ee03da8ddf14bdaa9c796ad57538606.jpg,2019-06-26 01:07:15.092811,0.16666666666666666
702099476,https://offerup.com/item/detail/702099476/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['yes on display 😁 sand reversible c...', '$449.00', 'los angeles, ca']",449.0,New (never used),"Come into our Downtown L.A. Showroom

Address:📍1100 : Wall St : Unit # 204 
Los Angeles : CA : 90015 👇

 Days & Hours:
:: Monday -       10am - 4pm
:: Tuesday -       Closed
:: Wednesday - 10am - 4pm
:: Thursday -     10am - 4pm
:: Friday -           Closed
:: Saturday -      10am - 4pm
:: Sunday -         Closed 👇

💵 Financing available with only $50 down $0 Interest up to 90 days to pay same as cash... Financing offered to people with no credit bad credit they get approved! 💯 Message me to apply.

📱 Text # 22462 and enter 20449 to apply.

😁 Only $50 Down!
😊 No Credit Check!
🙂 90 Days Payment Option
👉 Apply Today It's Quick!

🚚 Delivery Fee








We also have more items online- 
cal king, eastern king, king, bedroom furniture, living room furniture, livingroom, patio furniture,server, bar chairs, ottoman, mirror, rugs, furniture,  kids furniture, youth furniture, master bedroom, dining room, dining room furniture, dining set, dining table, mattress, new mattress, queen mattress, twin mattress, full mattress, king mattress, cal king mattress, furniture, brand new, twin bed, queen bed, full bed, eastern king bed, king bed, cal king bed, delivery, set up,  eastern king mattress, accent furniture, chest, dresser, mirror, dining chairs, sectional, sofa, loveseat, love seat, couch, recliner, bed, nightstand, bunk bed, daybed, trundle bed, dog houses, futons, sleeper, sofa bed, sofa sleeper, desk, computer chair, coffee table, pull out bed, tv stands, bar, bench, counter height, queen, twin, full,  rug, vanity, bookcase, leather, fabric, faux leather, bonded leather, linen, polyester, outdoor, assembly, brand new furniture,. Make an offer!",https://photos.offerup.com/1LijrYLXMcnjezzcn5xAcyv3o7c=/600x457/bc9a/bc9a350122f44ead8e6e01e820524147.jpg,2019-06-26 01:07:15.092811,0.16666666666666666
702098519,https://offerup.com/item/detail/702098519/,https://photos.offerup.com/GFPCjiYSMdVHoLBCt8oPQqVDTj0=/300x225/71ea/71ea357a63cb4b8baf22046511a2da4e.jpg,"['two piece couch', '$150.00', 'santa clarita, ca']",150.0,Used (normal wear),Two section couch. Long end is 12ft and the short is 8ft. Make an offer!,https://photos.offerup.com/LprR6WbZt363loWseECYGTtb_V4=/600x450/71ea/71ea357a63cb4b8baf22046511a2da4e.jpg,2019-06-26 01:07:15.092811,0.16666666666666666
646564390,https://offerup.com/item/detail/646564390/,https://photos.offerup.com/EI7T-rDvdzEw4R3CSz18E7C1hLQ=/300x400/bfc8/bfc8c519cac04cd790ff25cf7c07effe.jpg,"['promoted', 'leather sectional couch', '$600.00', 'burbank, ca']",600.0,Used (normal wear),Used but decent condition leather sectional . Make an offer!,https://photos.offerup.com/TT3rZNiJafTPYGmzVbOrUgn68vM=/600x800/bfc8/bfc8c519cac04cd790ff25cf7c07effe.jpg,2019-03-28 05:07:15.092811,90.0
702084787,https://offerup.com/item/detail/702084787/,https://photos.offerup.com/2i05u2Vrf-voe23_0N6j3vkFd1g=/300x400/0e92/0e92d95f60b6468ea232dc0798ec422f.jpg,"['black leather couch for sale.', '$125.00', 'inglewood, ca']",125.0,Used (normal wear),"Itʼs in good condition. 
Moving sale. 
Come pick it up. 
$125
{contact info removed}. Make an offer!",https://photos.offerup.com/JSpRr9_0KCvNxUQjuaU5lt2_s80=/600x800/0e92/0e92d95f60b6468ea232dc0798ec422f.jpg,2019-06-26 00:07:15.092811,0.20833333333333331
702079836,https://offerup.com/item/detail/702079836/,https://photos.offerup.com/2B4-dcQcj-DB7rDAJKtZ6mQ9wlc=/300x225/8522/8522aeda90e74e639fe114f3f40b3da1.jpg,"['comfy couch! great for college stud...', '$100.00', 'canoga park, ca']",100.0,Used (normal wear),Awesome comfy couch // come get it! . Make an offer!,https://photos.offerup.com/UI006jpYZwyvTu255ADtBsPDH1A=/600x450/8522/8522aeda90e74e639fe114f3f40b3da1.jpg,2019-06-26 00:07:15.092811,0.20833333333333331
702079566,https://offerup.com/item/detail/702079566/,https://photos.offerup.com/mfnZN3ALijtPjhiSe3guswdim1I=/300x486/2784/27844f327b06419790dcaf06642c32d9.jpg,"['couch', '$60.00', 'west hollywood, ca']",60.0,Used (normal wear),Couch for sale. Additional section included as it was too big for my living room.. Make an offer!,https://photos.offerup.com/GM1KsUDeALOoH7sg72szuFdHLTc=/600x972/2784/27844f327b06419790dcaf06642c32d9.jpg,2019-06-26 00:07:15.092811,0.20833333333333331
702070531,https://offerup.com/item/detail/702070531/,https://photos.offerup.com/8HRdNkeEIF4MuDPIvwn4RIzaYXM=/300x400/c58f/c58f61968b684a09814964be8aceb661.jpg,"['big comfy couch.', '$100.00', 'los angeles, ca']",100.0,Used (normal wear),Come and get it. It's a great couch just got a smaller one in a different style. Great to sleep in and sit on 10/10 couch. . Make an offer!,https://photos.offerup.com/uvoRsu6FBFEzn7GC9qLdqlZuEvc=/600x800/c58f/c58f61968b684a09814964be8aceb661.jpg,2019-06-26 00:07:15.092811,0.20833333333333331
702068038,https://offerup.com/item/detail/702068038/,https://photos.offerup.com/myBHiH1Raf_aLm7701NqTW9RksI=/300x225/af0a/af0aca4bf51a40a496140c171dcce41e.jpg,"['couch set (seat in a half)', '$600.00', 'torrance, ca']",600.0,Used (normal wear),"2 pieces
3 seat couch/seat in a half 
Tan/grey color
6 pillows with silver accents included
1yr old!! 

Great for family and very comfy!! 
. Make an offer!",https://photos.offerup.com/Erk4Cj2g0Sf6TatoqSr4cTWXqJA=/600x450/af0a/af0aca4bf51a40a496140c171dcce41e.jpg,2019-06-26 00:07:15.092811,0.20833333333333331
700023524,https://offerup.com/item/detail/700023524/,https://photos.offerup.com/4vyEizK1vYQ_7NBvmhlsDesUvUc=/300x225/91a8/91a8a2bd828f436d8ca12d34a72616d2.jpg,"['italian leather sectional couch', '$300.00', 'west hills, ca']",300.0,Used (normal wear),Has three recliners wires need to be reconnected.  . Make an offer!,https://photos.offerup.com/qHHpRQUuwKqQPL7x-c3Za0DOen4=/600x450/91a8/91a8a2bd828f436d8ca12d34a72616d2.jpg,2019-06-25 23:07:15.092811,0.25
702041673,https://offerup.com/item/detail/702041673/,https://photos.offerup.com/1nxqn2cHUKIZ8wXCPv-62iMERMk=/300x533/fb80/fb802ee308c84e2da0183358c9f149f5.jpg,"['cloth couch', '$200.00', 'los angeles, ca']",200.0,Used (normal wear),Cloth couch. Make an offer!,https://photos.offerup.com/kFKmVT3XUN8dQ4qiBD0PCe652CM=/600x1066/fb80/fb802ee308c84e2da0183358c9f149f5.jpg,2019-06-25 23:07:15.092811,0.25
702034802,https://offerup.com/item/detail/702034802/,https://photos.offerup.com/HHggzJhw7SfmZn95z2JOqtRvzlw=/300x225/790b/790be646aadd4018823660b92aa4b654.jpg,"['couch and loveseat set', '$180.00', 'long beach, ca']",180.0,Used (normal wear),Couch and loveseat sold together - pillows included. In good condition but slight wear on the corners of the couch shown in the pictures. Trying to get rid of them ASAP. $180 or obo . Make an offer!,https://photos.offerup.com/aa9i_XoRB7a2mYv8SJ9RO2Ds4QQ=/600x450/790b/790be646aadd4018823660b92aa4b654.jpg,2019-06-25 23:07:15.092811,0.25
701040993,https://offerup.com/item/detail/701040993/,https://photos.offerup.com/ZuQCixvSQYzqORoaPcW5rxmQBcU=/300x225/e108/e108d65562344a33b32be973edceca33.jpg,"['couch (set of 2 available)', '$250.00', 'los angeles, ca']",250.0,Used (normal wear),Selling individually or set of 2. Make me an offer. Make an offer!,https://photos.offerup.com/4Z6TmSixQH4yRACRDoZFoQeeyWk=/600x450/e108/e108d65562344a33b32be973edceca33.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
702020588,https://offerup.com/item/detail/702020588/,https://photos.offerup.com/ljXf8Tp0ttj4mfU8mucRg4Ayq_A=/300x237/7249/724978cd82244889b2e7b8198840acf6.jpg,"['brand new sectional couch for sale!...', '$800.00', 'los angeles, ca']",800.0,New (never used),"Brand New Sectional Couch!!

Moving next week need to get rid of ASAP.. perfect condition please pick up

Light grey 

. Make an offer!",https://photos.offerup.com/IU5KYlJNEITaFqDhX7He4EE6dcI=/600x474/7249/724978cd82244889b2e7b8198840acf6.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
702017698,https://offerup.com/item/detail/702017698/,https://photos.offerup.com/WbjsWSSXK8jmNmwehOjLDbHBr9I=/300x567/791d/791ddf0f567c4d949b0bd1569111fef0.jpg,"['3 piece couch plus', '$125.00', 'los angeles, ca']",125.0,Used (normal wear),"3 piece set , does not match exactly but they look fine together, tufted . Ottoman has rolling wheels , mini round one is slightly darker tan , all stains can be removed , all very light weight. 
Need to sell asap ! . Make an offer!",https://photos.offerup.com/NG2DrDa-r3DAzuLuhrVCBCy8COo=/600x1134/791d/791ddf0f567c4d949b0bd1569111fef0.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
702011509,https://offerup.com/item/detail/702011509/,https://photos.offerup.com/GBEHMGkyZT3ASk88dRBkXazbWcQ=/300x225/c092/c09260489cbd434bb4b25d05933ef8db.jpg,"['white leather couch', '$250.00', 'santa monica, ca']",250.0,Used (normal wear),White leather couch from IKEA. In good condition. We are moving and are not able to bring it with us. We are not able to deliver it. . Make an offer!,https://photos.offerup.com/Wt9uwB6J8yyefhqMk5SFWCALGDQ=/600x450/c092/c09260489cbd434bb4b25d05933ef8db.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
702008568,https://offerup.com/item/detail/702008568/,https://photos.offerup.com/aywK_nHIFXcwNMf8lWgNCX0VIyk=/300x151/4b90/4b90460f8a134e6a98648be59ba97425.jpg,"['$350 brand new two pieces sofa set', '$350.00', 'view park-windsor hills, ca']",350.0,New (never used),"We are manufacturers of couches with great prices. we make couches from scratch, designing the frame and using the best pine wood. Our shop is located in Los Angeles county. by the 605 and 10 freeways..We offer a variety of color and styles. Delivery available for an extra fee or pick up in Baldwin Park. Feel free to ask any questions 

Se habla español 😀. Make an offer!",https://photos.offerup.com/16sI0wzDABmmDdVeSfxzzbTSHAY=/600x302/4b90/4b90460f8a134e6a98648be59ba97425.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
701931103,https://offerup.com/item/detail/701931103/,https://photos.offerup.com/KgMogcW5sp7ElVl4uouGs2ls_4A=/300x225/9472/94727cd20fcb4a48bfd9ca050f509c43.jpg,"['$360 brand new two pieces sofa set', '$360.00', 'paramount, ca']",360.0,New (never used),"We are manufacturers of couches with great prices. we make couches from scratch, designing the frame and using the best pine wood. Our shop is located in Los Angeles county. by the 605 and 10 freeways..We offer a variety of color and styles. Delivery available for an extra fee or pick up in Baldwin Park. Feel free to ask any questions 

Se habla español 😀. Make an offer!",https://photos.offerup.com/NmUFcbsUyIUXAMimAf-R7BYlaW8=/600x450/9472/94727cd20fcb4a48bfd9ca050f509c43.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
701925826,https://offerup.com/item/detail/701925826/,https://photos.offerup.com/9ywBkiz4rekmxMenHS3HATN9fIs=/300x225/5efb/5efb85b8df9341d8a8937199bc3bd5b2.jpg,"['new 7x9ft charcoal microfiber secti...', '$549.00', 'los angeles, ca']",549.0,New (never used),"                

     I am selling a brand new MS,Marine set of sofas. (Tempurpedic memory foam,  stain resistant Scotchgard, custom made, and Delivery available extra charge.) Has in-springs that make it more valuable double padded arms, still in the factory packaging, never been used. I have suede and leather set. We are now asking for $549 for the two pieces, call or text Delivery available extra charge.
CHECK  MY OFFERS FOR MORE OPTIONS. 
(SE HABLA ESPANOL)

SECTIONAL SOFA> AVAILABLE IN
LEFT         RIGHT 
  7FT    X       9FT. 

  9FT.   X     9FT.

  11FT  X   11FT

  13FT  X  13 FT
              
SOFA AND LOVESEAT
   7FT.                5FT.

SOFA AND CHAISE
   9FT.       X        7FT. 
                OR
   7FT.       X       9FT.. Make an offer!",https://photos.offerup.com/53cxX5bs4tewFAMbJrEoSDZwAQI=/600x450/5efb/5efb85b8df9341d8a8937199bc3bd5b2.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
701999356,https://offerup.com/item/detail/701999356/,https://photos.offerup.com/Q4uJaQVaiZ7jUS0lCzJcxKD7Hlg=/300x225/ba19/ba19c25022c144afabf822a77851a835.jpg,"['3 piece sectional couch, gray.', '$600.00', 'los angeles, ca']",600.0,Used (normal wear),"3 piece sectional couch, gray. Only 6 months old and in perfect condition. Very comfortable. We are moving out and getting rid of things ASAP.. Make an offer!",https://photos.offerup.com/OX4hSc8RohX0c9xuJv8YZKg8PLQ=/600x450/ba19/ba19c25022c144afabf822a77851a835.jpg,2019-06-25 22:07:15.092811,0.29166666666666663
701984824,https://offerup.com/item/detail/701984824/,https://photos.offerup.com/L73Cz7AW3wFtNzBnPgmq2YblcDs=/300x486/1b9f/1b9f3ca8c0cc4fe9bf4a77de17afcdcf.jpg,"['couch for sale', '$50.00', 'los angeles, ca']",50.0,Used (normal wear),"94x39 height is 33in. Earth tone green, slight fade over the years. No tears, Rips or stains. Original purchase from Macy’s furniture department. Still very soft and pillows and cushions are very full still. Offering with all pillows and additional thrown from Pottery barn. . Make an offer!",https://photos.offerup.com/MXLOeAsw1BHv0dOe7VpQtKw_7CY=/600x972/1b9f/1b9f3ca8c0cc4fe9bf4a77de17afcdcf.jpg,2019-06-25 21:07:15.092811,0.3333333333333333
701976079,https://offerup.com/item/detail/701976079/,https://photos.offerup.com/5_yT3gZJfiLo4u9tWU4gqo02UqU=/300x225/410c/410cfaef201740d689c484802e4f37c0.jpg,"['new 7x9ft sea microfiber combo sect...', '$549.00', 'long beach, ca']",549.0,New (never used),"                

     I am selling a brand new MS,Marine set of sofas. (Tempurpedic memory foam,  stain resistant Scotchgard, custom made available extra charge.) Has in-springs that make it more valuable double padded arms, still in the factory packaging, never been used. I have suede and leather set. We are now asking for $549 for the two pieces,Delivery available extra charge.
CHECK  MY OFFERS FOR MORE OPTIONS. 
(SE HABLA ESPANOL)

SECTIONAL SOFA>AVAILABLE IN
LEFT.       RIGHT
  7FT.    X      9FT.
             
  9FT.     X.    9FT

  11FT.   X    11FT

  13FT.   X    13FT

SOFA AND LOVE SEAT SET 
   7FT.             5FT.

SOFA AND CHAISE  AVAILABLE IN
  LEFT.          RIGHT 
   9FT.     X        7FT 
               OR
   7FT.      X       9FT.. Make an offer!",https://photos.offerup.com/nGWH1Y1F313nVHnnpHQhFjbzBq4=/600x450/410c/410cfaef201740d689c484802e4f37c0.jpg,2019-06-25 21:07:15.092811,0.3333333333333333
701337444,https://offerup.com/item/detail/701337444/,https://photos.offerup.com/L6EwO2DGVZE0LRbmkR9-1HMOtiU=/300x238/1c0c/1c0c83786f244571a31484ffe1d58341.jpg,"['shabby chic living room set - white...', '$850.00', 'glendale, ca']",850.0,Used (normal wear),"Shabby Chic 6 piece living room set in white and natural linen color. Pillows have white lace design. Measurements are:

Couch : 40” x 84” x 30” (back height) x 16” (cushion height)

Coffee table with two drawers: 51” x 30” x 18”

End table with drawer: 24” x 24” x 26” (height)

Chairs (2): 30” L x 28” w x36” back height x 28” cushion height 

Ottoman : 30” x 22” x 16” height

Ottoman cushion has a broken zipper but it does not affect the use of the ottoman.

All cushions, with the exception of two large couch cushions for seating which are foam,  are filled with down and housed in protective casing under the removable/washable covers.
. Make an offer!",https://photos.offerup.com/kgo32-REUKHVCY8BeY5SPZgP0Q4=/600x476/1c0c/1c0c83786f244571a31484ffe1d58341.jpg,2019-06-25 21:07:15.092811,0.3333333333333333
701964409,https://offerup.com/item/detail/701964409/,https://photos.offerup.com/Ak6l8g72Bme0OgmOie0zFuLlToI=/300x162/5259/525971d654974540968727fd4a70e829.jpg,"['$350 brand new two pieces sofa set', '$350.00', 'los angeles, ca']",350.0,New (never used),"We are manufacturers of couches with great prices. we make couches from scratch, designing the frame and using the best pine wood. Our shop is located in Los Angeles county. by the 605 and 10 freeways..We offer a variety of color and styles. Delivery available for an extra fee or pick up in Baldwin Park. Feel free to ask any questions 

Se habla español 😀. Make an offer!",https://photos.offerup.com/-NdLCNfHx7d_ITHQwW77zF1yOng=/600x324/5259/525971d654974540968727fd4a70e829.jpg,2019-06-25 21:07:15.092811,0.3333333333333333
701961784,https://offerup.com/item/detail/701961784/,https://photos.offerup.com/T7_fbcRw0d1JkkLIA1X5cRBDQBA=/300x224/05d7/05d7ea7d65744a838ffa0d27e50477ac.jpg,"['$899 brand new sectional sofa plus ...', '$899.00', 'lynwood, ca']",899.0,New (never used),"We are manufacturers of couches with great prices. we make couches from scratch, designing the frame and using the best pine wood. Our shop is located in Los Angeles county. by the 605 and 10 freeways..We offer a variety of color and styles. Delivery available for an extra fee or pick up in Baldwin Park. Feel free to ask any questions 

Se habla español 😀. Make an offer!",https://photos.offerup.com/AHwbMuT7wWMeEdDukFQ92H3kTPo=/600x449/05d7/05d7ea7d65744a838ffa0d27e50477ac.jpg,2019-06-25 21:07:15.092811,0.3333333333333333
701958753,https://offerup.com/item/detail/701958753/,https://photos.offerup.com/s01skmuUZJG2IKBqJOyidAYVejc=/300x161/9a87/9a87391d7ab84dd3b604f9d6fcef9bf7.jpg,"['$599 brand new two pieces sofa set', '$599.00', 'hawthorne, ca']",599.0,New (never used),"We are manufacturers of couches with great prices. we make couches from scratch, designing the frame and using the best pine wood. Our shop is located in Los Angeles county. by the 605 and 10 freeways..We offer a variety of color and styles. Delivery available for an extra fee or pick up in Baldwin Park. Feel free to ask any questions 

Se habla español 😀. Make an offer!",https://photos.offerup.com/32wtY_66WnWUFeakGEE1nAaJ8nM=/600x323/9a87/9a87391d7ab84dd3b604f9d6fcef9bf7.jpg,2019-06-25 21:07:15.092811,0.3333333333333333
701950351,https://offerup.com/item/detail/701950351/,https://photos.offerup.com/RxamkFCJCtOGyyTNY9QjRQABtZ8=/300x222/297c/297cedfc1b9346f299151e0509729e69.jpg,"['new 7x9ft domino black fabric combo...', '$549.00', 'thousand oaks, ca']",549.0,New (never used),"                

     I am selling a brand new MS,Marine set of sofas. (Tempurpedic memory foam,  stain resistant Scotchgard, custom made available extra charge.) Has in-springs that make it more valuable double padded arms, still in the factory packaging, never been used. I have suede and leather set. We are now asking for $549 for the two pieces,Delivery available extra charge.
CHECK  MY OFFERS FOR MORE OPTIONS. 
(SE HABLA ESPANOL)

SECTIONAL SOFA>AVAILABLE IN
LEFT.       RIGHT
  7FT.    X      9FT.
             
  9FT.     X.    9FT

  11FT.   X    11FT

  13FT.   X    13FT

SOFA AND LOVE SEAT SET 
   7FT.             5FT.

SOFA AND CHAISE  AVAILABLE IN
  LEFT.          RIGHT 
   9FT.     X        7FT 
               OR
   7FT.      X       9FT.. Make an offer!",https://photos.offerup.com/9BYqpfdgrTr5uw2X1W-ijGmmvUY=/600x444/297c/297cedfc1b9346f299151e0509729e69.jpg,2019-06-25 20:07:15.092811,0.375
